enviroment, gi, w, q, x, y
Environment.FREE_SPACE,4e-06,1000000.0,2,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.999994, 0.999988, 0.999956, 0.999626, 0.998626, 0.995014, 0.988712, 0.976132, 0.91524, 0.848192, 0.7214, 0.614, 0.49399]"

Environment.FREE_SPACE,4e-06,1000000.0,4,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.999994, 0.999984, 0.999926, 0.999768, 0.998166, 0.994966, 0.982606, 0.965686, 0.935332, 0.82024, 0.71378, 0.549166, 0.4328, 0.316846]"

Environment.FREE_SPACE,4e-06,1000000.0,16,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.999986, 0.999944, 0.999708, 0.999204, 0.99764, 0.987178, 0.969822, 0.925612, 0.87518, 0.79985, 0.59514, 0.457742, 0.291882, 0.200072, 0.126036]"

Environment.FREE_SPACE,4e-06,1000000.0,64,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 0.999998, 1.0, 0.999988, 0.999854, 0.999448, 0.997658, 0.994592, 0.987226, 0.94864, 0.90067, 0.799474, 0.710086, 0.596924, 0.359842, 0.239968, 0.12558, 0.0749, 0.04027]"

Environment.FREE_SPACE,4e-06,1000000.0,256,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 0.999998, 0.99999, 0.999958, 0.999882, 0.998792, 0.996372, 0.987546, 0.974428, 0.950188, 0.852482, 0.757352, 0.601522, 0.48589, 0.365774, 0.173566, 0.097596, 0.04145, 0.021418, 0.010018]"

Environment.FREE_SPACE,4e-06,2000000.0,2,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.999998, 0.999996, 0.999982, 0.999864, 0.99947, 0.99777, 0.994602, 0.987258, 0.948778, 0.900482, 0.79888, 0.70902, 0.595352]"

Environment.FREE_SPACE,4e-06,2000000.0,4,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.999994, 0.999986, 0.999908, 0.999234, 0.997606, 0.990734, 0.980892, 0.961022, 0.878938, 0.79283, 0.647844, 0.534698, 0.41316]"

Environment.FREE_SPACE,4e-06,2000000.0,16,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99999, 0.999984, 0.999906, 0.999636, 0.998988, 0.993368, 0.983756, 0.955068, 0.919902, 0.863438, 0.68902, 0.558526, 0.38421, 0.278014, 0.185202]"

Environment.FREE_SPACE,4e-06,2000000.0,64,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 0.999994, 0.99994, 0.999794, 0.999, 0.997314, 0.993456, 0.970648, 0.93811, 0.862864, 0.788766, 0.690026, 0.459294, 0.325782, 0.184052, 0.117736, 0.066866]"

Environment.FREE_SPACE,4e-06,2000000.0,256,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 0.999994, 0.999992, 0.99994, 0.999466, 0.99835, 0.993794, 0.98679, 0.971334, 0.90348, 0.828814, 0.696304, 0.587936, 0.464828, 0.244486, 0.149676, 0.06957, 0.03853, 0.018678]"

Environment.FREE_SPACE,4e-06,4000000.0,2,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.999998, 0.999958, 0.99983, 0.998966, 0.99752, 0.993976, 0.97195, 0.940474, 0.868042, 0.794898, 0.697726]"

Environment.FREE_SPACE,4e-06,4000000.0,4,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.999998, 1.0, 0.999982, 0.999712, 0.99898, 0.99585, 0.990694, 0.979588, 0.92566, 0.86358, 0.74331, 0.640518, 0.521692]"

Environment.FREE_SPACE,4e-06,4000000.0,16,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.999998, 0.999992, 0.99997, 0.999874, 0.999666, 0.99706, 0.992218, 0.975614, 0.953476, 0.914766, 0.779426, 0.663664, 0.491366, 0.377912, 0.268574]"

Environment.FREE_SPACE,4e-06,4000000.0,64,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 0.999998, 0.999992, 0.999928, 0.999574, 0.998952, 0.997126, 0.984786, 0.965246, 0.91448, 0.860708, 0.779536, 0.567342, 0.42933, 0.267104, 0.181384, 0.1111]"

Environment.FREE_SPACE,4e-06,4000000.0,256,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 0.999984, 0.999824, 0.999358, 0.99724, 0.993552, 0.985374, 0.94258, 0.890084, 0.784104, 0.689174, 0.574072, 0.34062, 0.22234, 0.1138, 0.0675, 0.035574]"

Environment.FREE_SPACE,4e-06,8000000.0,2,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99998, 0.999924, 0.99966, 0.998992, 0.997302, 0.985712, 0.967504, 0.9193, 0.866368, 0.7888]"

Environment.FREE_SPACE,4e-06,8000000.0,4,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.999998, 0.999992, 0.999912, 0.999566, 0.998358, 0.995884, 0.99031, 0.958728, 0.915836, 0.82629, 0.74109, 0.632138]"

Environment.FREE_SPACE,4e-06,8000000.0,16,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99999, 0.99998, 0.999964, 0.99986, 0.99886, 0.996466, 0.987812, 0.975176, 0.950908, 0.855102, 0.760368, 0.604434, 0.490184, 0.369466]"

